# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	6218
#@/user_id	archlinux
a 	啊	c=6 d=0.914247 t=6218
wen jian jia 	文件夾	c=1 d=0.0953692 t=6218
wen jian jian 	文件間	c=1 d=0.00414853 t=6218
wen jian ming 	文件名	c=3 d=0.0114263 t=6218
wen jian zhong 	文件中	c=1 d=0.0333733 t=6218
wen nuan 	溫暖	c=2 d=0.479829 t=6218
wen ti 	問題	c=15 d=0.467578 t=6218
wen wen 	問問	c=1 d=0.794534 t=6218
wo 	我	c=40 d=3.5301 t=6218
wo de wen dang 	我的文檔	c=1 d=0.913931 t=6218
wo ji de 	我記得	c=1 d=0.147342 t=6218
wo jiao ta 	我叫她	c=1 d=0.0203434 t=6218
wo jin liang 	我儘量	c=1 d=0.0235177 t=6218
wo kao 	我靠	c=1 d=1.64956e-06 t=6218
wo ku 	我哭	c=0 d=0.00297478 t=6218
wo ku si 	我哭死	c=1 d=0.0298969 t=6218
wo ma 	我媽	c=1 d=0.798516 t=6218
wo men 	我們	c=1 d=0.000108909 t=6218
wo shi 	我是	c=1 d=0.831104 t=6218
wo shuo 	我說	c=1 d=0.00213349 t=6218
wo shuo de 	我說的	c=1 d=0.000596161 t=6218
wo xian zai 	我現在	c=1 d=0.00129402 t=6218
wo xiang 	我想	c=1 d=1 t=6006
wo xiang yao 	我想要	c=3 d=2.61074 t=6046
wo yi wei 	我以爲	c=1 d=0.494109 t=6218
wo zai 	我在	c=2 d=0.196973 t=6218
wo zai kan 	我在看	c=1 d=0.000689186 t=6218
wo zhe 	我這	c=2 d=0.155673 t=6218
wu 	五	c=2 d=0.377437 t=6218
wu 	務	c=0 d=0.0122456 t=6218
wu 	無	c=1 d=0.0611935 t=6218
wu che pai 	無車牌	c=2 d=0.948018 t=6218
wu dian 	五點	c=0 d=3.83949e-05 t=6218
wu dian ban 	五點半	c=1 d=0.000385874 t=6218
wu fa 	無法	c=2 d=1.42194 t=6218
wu mi ma 	無密碼	c=1 d=0.106992 t=6218
wu ming 	無名	c=2 d=0.00952301 t=6218
wu quan xian 	無權限	c=1 d=0.380983 t=6218
wu wei 	五位	c=1 d=0.0072265 t=6218
wu yong 	無用	c=3 d=0.0889367 t=6218
xi 	系	c=1 d=0.83527 t=6218
xi chua 	系欻	c=1 d=0.000443861 t=6218
xi tong 	系統	c=20 d=1.12235 t=6218
xi tong fu wu 	系統服務	c=3 d=0.0553797 t=6218
xi xi 	嘻嘻	c=3 d=0.172907 t=6218
xia 	下	c=10 d=1.3185 t=6218
xia ban 	下班	c=2 d=0.995012 t=6218
xia fa 	下發	c=8 d=0.209213 t=6218
xia le 	下了	c=1 d=2.19353e-06 t=6218
xia mian 	下面	c=2 d=0.947135 t=6218
xia yi chu 	下一處	c=2 d=0.541197 t=6218
xia yu tian 	下雨天	c=1 d=0.00163682 t=6218
xia zai 	下載	c=4 d=0.857475 t=6218
xian 	先	c=3 d=0.354256 t=6218
xian ka 	顯卡	c=0 d=0.0941765 t=6218
xian kan xia 	先看下	c=1 d=0.113042 t=6218
xian shi 	顯示	c=7 d=1.76877 t=6218
xian shi qi 	顯示器	c=4 d=3.31706 t=6218
xian zai 	現在	c=2 d=0.370802 t=6218
xian zhi 	限制	c=5 d=0.0423192 t=6218
xiang 	像	c=3 d=0.355226 t=6218
xiang 	想	c=2 d=0.000397688 t=6218
xiang 	項	c=1 d=0.00336274 t=6218
xiang deng 	相等	c=1 d=1 t=5882
xiang guan 	相關	c=6 d=0.302338 t=6218
xiang mu 	項目	c=56 d=3.39533 t=6218
xiang mu ming cheng 	項目名稱	c=1 d=0.718924 t=6218
xiang nun shi 	像嫩是	c=1 d=0.000160054 t=6218
xiang qing 	詳情	c=1 d=0.00147367 t=6218
xiang ri kui 	向日葵	c=1 d=0.891366 t=6218
xiang shang 	向上	c=1 d=0.467666 t=6218
xiang tong 	相同	c=8 d=2.39394 t=6218
xiang xi 	詳細	c=3 d=0.810584 t=6218
xiang xiang 	想想	c=1 d=0.0769192 t=6218
xiang xiang 	香香	c=1 d=0.980199 t=6218
xiang ying 	響應	c=13 d=0.319644 t=6218
xiang ying ma 	響應碼	c=1 d=0.00494193 t=6218
xiang zi 	箱子	c=1 d=0.161218 t=6218
xiang zi li 	箱子裏	c=1 d=0.0178635 t=6218
xiao 	小	c=1 d=0.0375957 t=6218
xiao bai 	小白	c=0 d=0.0149569 t=6218
xiao bai yang 	小白樣	c=1 d=0.150318 t=6218
xiao fang 	消防	c=0 d=0.0562705 t=6218
xiao fang xi tong 	消防系統	c=1 d=0.565525 t=6218
xiao he shuang pin 	小鶴雙拼	c=1 d=0.000629868 t=6218
xiao kang 	小康	c=0 d=0.0144424 t=6218
xiao le 	小了	c=0 d=0.00880368 t=6218
xiao mao mi 	小貓咪	c=1 d=0.0175975 t=6218
xiao mi 	小米	c=2 d=0.224801 t=6218
xiao shi 	小時	c=1 d=3.72665e-06 t=6218
xiao shu 	小數	c=2 d=1.94176 t=6190
xiao shuo 	小說	c=1 d=0.0997584 t=6218
xiao tuo feng 	小駝峯	c=1 d=0.290835 t=6218
xiao xi 	消息	c=15 d=0.228275 t=6218
xiao xi lei xing 	消息類型	c=1 d=0.0131019 t=6218
xiao yu 	小於	c=1 d=0.2334 t=6218
xiao zhu 	小豬	c=0 d=0.00229371 t=6218
xiao zhu mi 	小豬咪	c=1 d=0.0230521 t=6218
xiao zu 	小組	c=2 d=0.0431058 t=6218
xie 	些	c=1 d=0.000200439 t=6218
xie 	寫	c=6 d=0.96714 t=6218
xie fa 	寫法	c=1 d=1 t=5925
xie shang qu 	寫上去	c=1 d=0.606531 t=6218
xin 	新	c=0 d=5.25911e-05 t=6218
xin gong neng 	新功能	c=1 d=5.81541e-06 t=6218
xin gou 	新夠	c=1 d=0.0290133 t=6218
xin shu biao 	新鼠標	c=1 d=0.000189713 t=6218
xin te xing 	新特性	c=1 d=0.000338834 t=6218
xin tiao 	心跳	c=3 d=0.136695 t=6218
xin xi 	信息	c=19 d=1.07628 t=6218
xin zen 	新怎	c=1 d=0.423162 t=6218
xin zeng 	新增	c=45 d=3.95624 t=6218
xing 	性	c=2 d=0.00733572 t=6218
xing bie 	性別	c=3 d=0.267684 t=6218
xing hao 	型號	c=1 d=0.00135358 t=6218
xing ming 	姓名	c=12 d=0.402899 t=6218
xing ren 	行人	c=1 d=0.535261 t=6218
xiu 	修	c=1 d=0.412714 t=6218
xiu fu 	修復	c=11 d=0.183599 t=6218
xiu gai 	修改	c=31 d=3.38152 t=6218
xiu xi 	休息	c=1 d=0.000421797 t=6218
xiu zheng 	修正	c=1 d=0.529936 t=6218
xu hao 	序號	c=1 d=0.310367 t=6218
xu ke 	許可	c=1 d=0.130029 t=6218
xu lie 	序列	c=3 d=0.041376 t=6218
xu lie hua 	序列化	c=6 d=0.163225 t=6218
xu ni 	虛擬	c=3 d=0.0929433 t=6218
xu ni ji 	虛擬機	c=1 d=0.918512 t=6218
xu qi 	續期	c=4 d=1.16921 t=6218
xu qiu 	需求	c=4 d=0.237108 t=6218
xu xue 	需學	c=1 d=0.00141589 t=6218
xu yao 	需要	c=5 d=0.930097 t=6218
xuan de 	玄德	c=1 d=7.98788e-05 t=6218
xuan de 	選的	c=1 d=8.02792e-05 t=6218
xuan ju 	選舉	c=3 d=0.100005 t=6218
xuan qu 	選區	c=3 d=0.363311 t=6218
xuan xiang 	選項	c=1 d=0.00790708 t=6218
xuan ze 	選擇	c=3 d=0.861571 t=6218
xuan zhong 	選中	c=1 d=0.27665 t=6218
xue hua 	雪花	c=0 d=0.0591555 t=6218
xue hua suan fa 	雪花算法	c=1 d=0.594521 t=6218
xue xiao 	學校	c=1 d=0.923116 t=6218
xun huan 	循環	c=1 d=0.191092 t=6218
ya 	呀	c=0 d=0.0197899 t=6218
ya ba cheng 	呀八成	c=1 d=0.198891 t=6218
ya po gan 	壓迫感	c=1 d=0.183599 t=6218
yai 	崖	c=14 d=0.905544 t=6218
yan ge 	嚴格	c=1 d=0.000800719 t=6218
yan se 	顏色	c=1 d=0.0461897 t=6218
yan shu 	眼熟	c=1 d=0.66034 t=6218
yan zheng 	驗證	c=1 d=0.000101039 t=6218
yang 	樣	c=0 d=0.0149569 t=6218
yao 	要	c=10 d=0.622287 t=6218
yao bu shi 	要不是	c=1 d=0.0982736 t=6218
yao jia 	要加	c=0 d=0.0301194 t=6218
yao jia ge 	要加個	c=1 d=0.302704 t=6218
yao ni 	咬你	c=1 d=0.00663763 t=6218
yao yong 	要用	c=2 d=0.17737 t=6218
yao zai 	要在	c=1 d=0.00019647 t=6218
yao zhang 	要長	c=1 d=0.0114473 t=6218
yao zhao ren 	要找人	c=1 d=0.000274654 t=6218
ye 	也	c=3 d=0.157237 t=6218
ye 	頁	c=0 d=8.50237e-05 t=6218
ye jiu shi 	也就是	c=1 d=2.49805e-06 t=6218
ye mei you 	也沒有	c=2 d=0.000177453 t=6218
ye neng 	也能	c=3 d=0.0136765 t=6218
ye shi 	也是	c=2 d=0.61006 t=6218
ye wu 	業務	c=5 d=0.23344 t=6218
ye wu yi chang 	業務異常	c=1 d=0.00279479 t=6218
yi 	一	c=2 d=0.236928 t=6218
yi 	以	c=3 d=0.023157 t=6218
yi 	依	c=2 d=0.318243 t=6218
yi 	已	c=1 d=0.00311976 t=6218
yi bei 	已被	c=1 d=0.00597602 t=6218
yi bian 	以便	c=1 d=0.00172074 t=6218
yi ceng 	一層	c=1 d=0.0101022 t=6218
yi chang 	異常	c=16 d=0.645422 t=6218
yi chang chu li 	異常處理	c=1 d=0.00396599 t=6218
yi chu 	一處	c=1 d=0.344365 t=6218
yi chu 	移除	c=8 d=0.829448 t=6218
yi ci 	一次	c=2 d=4.12504e-05 t=6218
yi dao 	移到	c=1 d=1.68696e-05 t=6218
yi dong 	移動	c=6 d=0.00667865 t=6218
yi dui 	一堆	c=1 d=0.865022 t=6218
yi ge 	一個	c=6 d=0.702071 t=6218
yi hao 	一號	c=1 d=0.180866 t=6218
yi hao gang 	一號崗	c=1 d=0.377192 t=6218
yi hou 	以後	c=1 d=0.00115345 t=6218
yi ji 	以及	c=2 d=0.0246002 t=6218
yi jing 	已經	c=1 d=0.000100535 t=6218
yi kan 	一看	c=1 d=0.0108347 t=6218
yi lai 	以來	c=1 d=0.319819 t=6218
yi lai 	依賴	c=3 d=0.358202 t=6218
yi lai bu duo 	依賴不多	c=1 d=0.353455 t=6218
yi qi 	一起	c=2 d=0.744532 t=6218
yi qian 	以前	c=4 d=0.412714 t=6218
yi shang 	以上	c=1 d=1 t=6115
yi sheng 	一聲	c=2 d=0.254486 t=6218
yi si 	意思	c=3 d=0.285529 t=6218
yi tai 	一臺	c=4 d=0.144884 t=6218
yi tu 	依圖	c=10 d=0.0010772 t=6218
yi wei 	以爲	c=1 d=0.843665 t=6218
yi xia 	一下	c=1 d=0.201901 t=6218
yi xia 	以下	c=2 d=1.25538 t=6172
yi xiao shi 	一小時	c=1 d=0.000383949 t=6218
yi yan 	一眼	c=1 d=0.0100518 t=6218
yi yang 	一樣	c=4 d=0.747602 t=6218
yi zhi 	一致	c=4 d=0.217337 t=6218
yi zu 	一組	c=1 d=0.0332069 t=6218
yin cang 	隱藏	c=2 d=0.0143357 t=6218
yin liang 	音量	c=1 d=1 t=5879
yin ni 	印尼	c=0 d=4.53999e-06 t=6218
yin pin 	音頻	c=1 d=0.847894 t=6218
yin qing 	引擎	c=1 d=0.00763509 t=6218
yin ru 	引入	c=2 d=0.891366 t=6218
yin wei 	因爲	c=5 d=0.304316 t=6218
yin xiang 	音箱	c=1 d=0.99005 t=6218
yin yong 	引用	c=2 d=0.847343 t=6218
ying bin 	迎賓	c=3 d=0.279566 t=6218
ying bin ji 	迎賓機	c=2 d=0.366338 t=6218
ying gai 	應該	c=2 d=7.33724e-05 t=6218
ying gai shi 	應該是	c=3 d=0.818731 t=6218
ying jian 	硬件	c=1 d=0.0107807 t=6218
ying le 	贏了	c=1 d=0.913931 t=6218
ying qu 	營區	c=1 d=0.0186744 t=6218
ying qu an fang xi tong 	營區安防系統	c=1 d=0.0169075 t=6218
ying she 	映射	c=1 d=0.535261 t=6218
ying she qi 	映射器	c=1 d=0.0109436 t=6218
ying wen 	英文	c=1 d=2.18786e-05 t=6218
ying wen ming 	英文名	c=3 d=0.371577 t=6218
ying xiang 	影響	c=2 d=0.938081 t=6218
ying yong 	應用	c=7 d=1.64543 t=6218
yong 	用	c=27 d=1.54306 t=6218
yong bu shang 	用不上	c=1 d=0.00489275 t=6218
yong de 	用的	c=2 d=0.609571 t=6218
yong han 	勇悍	c=0 d=1.28779e-06 t=6218
yong han shi 	勇悍時	c=1 d=1.29424e-05 t=6218
yong hu 	用戶	c=54 d=1.0461 t=6218
yong hu biao 	用戶表	c=1 d=0.172907 t=6218
yong hu ming 	用戶名	c=6 d=0.685246 t=6218
yong hu zu 	用戶組	c=3 d=0.968698 t=6218
yong jiao ben 	用腳本	c=1 d=2.62613e-06 t=6218
yong kuai jie jian 	用快捷鍵	c=1 d=0.179066 t=6218
yong le 	永樂	c=1 d=0.319819 t=6218
yong le 	用了	c=1 d=0.321422 t=6218
yong mei yong 	用沒用	c=1 d=0.0160027 t=6218
yong tu 	用途	c=3 d=0.650263 t=6218
yong yu 	用於	c=3 d=0.00883242 t=6218
yong zhe ge 	用這個	c=1 d=1 t=5903
you 	又	c=1 d=0.260832 t=6218
you 	有	c=6 d=0.727751 t=6218
you ban fa 	有辦法	c=1 d=3.56267e-06 t=6218
you bie ren 	有別人	c=1 d=6.52415e-06 t=6218
you dao li 	有道理	c=2 d=0.218854 t=6218
you diao zhe yu le 	又叼着魚了	c=1 d=0.0327124 t=6218
you ge 	有個	c=1 d=0.000116806 t=6218
you gei 	又給	c=0 d=0.0229925 t=6218
you gei wo 	又給我	c=1 d=0.231078 t=6218
you hen duo 	有很多	c=1 d=0.202909 t=6218
you hua 	優化	c=4 d=0.90667 t=6218
you jian 	郵件	c=2 d=4.19406e-06 t=6218
you mei 	優美	c=1 d=3.44013e-06 t=6218
you mei you 	有沒有	c=1 d=3.45738e-06 t=6218
you re 	猶熱	c=0 d=0.0715338 t=6218
you re shui 	猶熱誰	c=1 d=0.718924 t=6218
you wang le 	有網了	c=1 d=1.94548e-06 t=6218
you wen ti 	有問題	c=1 d=0.000147748 t=6218
you wu 	有誤	c=1 d=1 t=6139
you xian ji 	優先級	c=1 d=0.00227676 t=6218
you xiang 	郵箱	c=1 d=2.09701e-06 t=6218
you xiao qi 	有效期	c=1 d=0.00344786 t=6218
you xie 	有些	c=3 d=0.321474 t=6218
you yong 	有用	c=1 d=4.72527e-05 t=6218
you yong 	游泳	c=1 d=4.70171e-05 t=6218
yu 	域	c=0 d=0.0110251 t=6218
yu 	與	c=17 d=1.40523 t=6218
yu 	魚	c=3 d=2.73686 t=6218
yu dao 	芋道	c=1 d=0.00177315 t=6218
yu dao 	遇到	c=1 d=0.0017643 t=6218
yu e 	餘額	c=1 d=0.23457 t=6218
yu lan 	預覽	c=3 d=0.293758 t=6218
yu yan 	語言	c=1 d=0.891366 t=6218
yu zhi 	閾值	c=1 d=0.00148848 t=6218
yuan ben 	原本	c=1 d=0.0653043 t=6218
yuan ben de 	原本的	c=1 d=0.0572688 t=6218
yuan cheng 	遠程	c=2 d=1.97521 t=6218
yuan dian chao 	袁典潮	c=2 d=0.219951 t=6218
yuan gong 	員工	c=0 d=0.000299743 t=6218
yuan gong ka 	員工卡	c=2 d=0.00604 t=6218
yuan kuo hao 	圓括號	c=3 d=0.162569 t=6218
yuan lai 	原來	c=6 d=2.42762 t=6218
yuan ma 	源碼	c=1 d=0.0298969 t=6218
yuan shi 	原始	c=1 d=0.000921048 t=6218
yuan yi 	原義	c=3 d=0.139161 t=6218
yuan you 	原有	c=3 d=0.667243 t=6218
yun 	雲	c=0 d=0.00120342 t=6218
yun suan 	運算	c=0 d=0.0609571 t=6218
yun xing 	運行	c=5 d=2.08116 t=6218
yun xing shi 	運行時	c=1 d=0.0459593 t=6218
yun xu 	允許	c=1 d=0.726149 t=6218
zai 	再	c=1 d=0.937067 t=6218
zai 	在	c=30 d=2.19716 t=6218
zai de hua 	在的話	c=1 d=0.000127806 t=6218
zai kan 	在看	c=1 d=6.55685e-06 t=6218
zai li chang 	在離場	c=1 d=0.00551656 t=6218
zai me 	仔麼	c=1 d=1.71688e-06 t=6218
zai mian shi 	在面試	c=1 d=0.00035443 t=6218
zai na 	在哪	c=1 d=0.985112 t=6218
zai ni 	在你	c=1 d=0.918512 t=6218
zai wang ye duan 	在網頁端	c=1 d=0.158817 t=6218
zai xian 	在線	c=2 d=0.117525 t=6218
zai yong 	在用	c=1 d=0.0151463 t=6218
zai zhe 	在這	c=0 d=0.099005 t=6218
zan shi 	暫時	c=1 d=0.00486835 t=6218
zao gao 	糟糕	c=1 d=0.00479587 t=6218
zao tui 	早退	c=0 d=4.28594e-05 t=6218
zao tui le 	早退了	c=1 d=0.000430743 t=6218
ze 	則	c=2 d=1.00467 t=6218
zen me 	怎麼	c=12 d=1.92928 t=6218
zeng 	增	c=1 d=0.000349153 t=6218
zeng liang 	增量	c=6 d=0.872634 t=6218
zeng shan 	增刪	c=2 d=0.272534 t=6218
zeng shan gai cha 	增刪改查	c=2 d=0.256196 t=6218
zha ji 	閘機	c=1 d=0.537944 t=6218
zha men 	閘門	c=1 d=0.759572 t=6218
zhan shi 	展示	c=1 d=0.00449405 t=6218
zhan tie 	粘貼	c=9 d=0.292638 t=6218
zhan yong 	佔用	c=14 d=5.45505 t=6218
zhan yong lv 	佔用率	c=5 d=3.91251 t=6037
zhang 	章	c=15 d=1.32104 t=6218
zhang hao 	帳號	c=20 d=0.0835411 t=6218
zhang hao bu cun zai 	帳號不存在	c=1 d=0.00332928 t=6218
zhang hao mi ma 	帳號密碼	c=1 d=0.0186856 t=6218
zhang hu 	賬戶	c=5 d=0.0160199 t=6218
zhang wo 	掌握	c=1 d=0.008396 t=6218
zhao 	找	c=1 d=0.00143335 t=6218
zhao bai cai 	找白菜	c=1 d=0.0129715 t=6218
zhao bu dao 	找不到	c=1 d=0.0131019 t=6218
zhao chu lai 	找出來	c=1 d=0.860708 t=6218
zhao dao 	找到	c=3 d=0.000332087 t=6218
zhao ni 	找你	c=1 d=0.900325 t=6218
zhao pian 	照片	c=4 d=0.435035 t=6218
zhao pin 	招聘	c=1 d=0.00103848 t=6218
zhao ren 	找人	c=1 d=0.000295201 t=6218
zhe 	這	c=1 d=0.000479414 t=6218
zhe bu shi 	這不是	c=1 d=0.367879 t=6218
zhe ge 	這個	c=15 d=0.690554 t=6218
zhe li 	這裏	c=2 d=0.341298 t=6218
zhe liang ge 	這兩個	c=0 d=0.0612626 t=6218
zhe me da 	這麼大	c=1 d=0.128093 t=6218
zhe me zao 	這麼早	c=1 d=0.00367942 t=6218
zhe ren 	這人	c=1 d=5.85869e-05 t=6218
zhe shi 	這是	c=1 d=0.0104621 t=6218
zhe tu li 	這圖裏	c=1 d=8.14925e-05 t=6218
zhe xie 	這些	c=1 d=0.000133021 t=6218
zhe yang 	這樣	c=2 d=0.301194 t=6218
zhe yang shuo 	這樣說	c=1 d=0.839457 t=6218
zhe you 	這又	c=0 d=0.0647265 t=6218
zhe you shi 	這又是	c=1 d=0.650509 t=6218
zhe zhong 	這種	c=1 d=0.644036 t=6218
zhen 	真	c=3 d=2.23483 t=6218
zhen de 	真的	c=0 d=0.00294518 t=6218
zhen de hao 	真的好	c=0 d=0.00145524 t=6218
zhen de hao chao 	真的好吵	c=1 d=0.0146253 t=6218
zhen hao 	真好	c=3 d=0.0221065 t=6218
zhen hao yong 	真好用	c=2 d=1.79165 t=6218
zhen ming 	真名	c=1 d=5.84456e-06 t=6218
zhen shen 	真身	c=0 d=0.0362402 t=6218
zhen shen qi ba 	真身七八	c=1 d=0.364219 t=6218
zhen tou 	枕頭	c=1 d=0.955997 t=6218
zhen zai 	真在	c=1 d=0.00036159 t=6218
zhen zai zhe 	真在這	c=1 d=0.995012 t=6218
zheng chang 	正常	c=3 d=0.154124 t=6218
zheng cheng 	征程	c=1 d=0.113042 t=6218
zheng ge 	整個	c=2 d=0.511709 t=6218
zheng hang 	整行	c=1 d=0.00900478 t=6218
zheng he 	整合	c=2 d=0.0326158 t=6218
zheng jian 	證件	c=1 d=0.00295281 t=6218
zheng shu 	整數	c=1 d=1 t=6188
zheng shu 	證書	c=1 d=1 t=6187
zheng tao 	整套	c=1 d=0.0437178 t=6218
zheng xiang 	正向	c=3 d=0.462259 t=6218
zheng ze 	正則	c=2 d=0.0484873 t=6218
zheng ze biao da shi 	正則表達式	c=1 d=0.04573 t=6218
zhi 	值	c=10 d=1.28453 t=6218
zhi 	只	c=3 d=0.794351 t=6218
zhi 	指	c=1 d=0.000605171 t=6218
zhi 	直	c=1 d=0.208045 t=6218
zhi 	至	c=3 d=0.493693 t=6218
zhi bo 	直播	c=1 d=0.000428594 t=6218
zhi chi 	支持	c=2 d=0.0687333 t=6218
zhi da 	直達	c=2 d=0.0506077 t=6218
zhi dao 	知道	c=1 d=0.0106734 t=6218
zhi dao shi 	知道是	c=1 d=0.0101529 t=6218
zhi ding 	制定	c=1 d=0.856415 t=6218
zhi ding 	指定	c=3 d=2.03782 t=6218
zhi ding 	置頂	c=1 d=0.839457 t=6218
zhi du 	制度	c=1 d=0.00122477 t=6218
zhi du 	只讀	c=2 d=0.0363151 t=6218
zhi dui 	只對	c=1 d=0.198891 t=6218
zhi dui 	支隊	c=1 d=0.197899 t=6218
zhi hou 	之後	c=2 d=0.478851 t=6218
zhi jian 	之間	c=1 d=0.0234005 t=6218
zhi jie 	直接	c=6 d=2.16829 t=6218
zhi leng 	製冷	c=1 d=0.198891 t=6218
zhi ling 	指令	c=0 d=0.00902655 t=6218
zhi neng 	只能	c=2 d=0.585669 t=6218
zhi qian 	之前	c=12 d=1.9879 t=6218
zhi shi 	只是	c=1 d=0.000117979 t=6218
zhi shi qi 	指示器	c=1 d=0.752014 t=6218
zhi tuan 	紙團	c=2 d=1.68401 t=6218
zhi wai 	之外	c=2 d=1.14255 t=6218
zhi xing 	執行	c=13 d=2.21909 t=6218
zhi xing hou 	執行後	c=1 d=1 t=5970
zhi xu yao 	只需要	c=1 d=1 t=5997
zhi yong 	只用	c=1 d=0.000572785 t=6218
zhi you 	只有	c=1 d=0.00375375 t=6218
zhi zhen 	指針	c=0 d=0.000615802 t=6218
zhong 	中	c=34 d=3.63472 t=6218
zhong de 	中的	c=2 d=0.222034 t=6218
zhong dian 	重點	c=1 d=0.680451 t=6218
zhong duan 	終端	c=5 d=1.53991 t=6218
zhong jian 	中間	c=1 d=0.0457442 t=6218
zhong jian biao 	中間表	c=2 d=0.0852939 t=6218
zhong shen gou 	中申購	c=1 d=0.0216013 t=6218
zhong sheng 	衆生	c=1 d=0.0217096 t=6218
zhong sheng qi yuan 	中盛起元	c=5 d=0.0576205 t=6218
zhong wen 	中文	c=4 d=2.55168 t=6218
zhong wu 	中午	c=2 d=0.000777755 t=6218
zhong xin 	中心	c=9 d=1.582 t=6218
zhong xin ku 	中心庫	c=15 d=0.00391492 t=6218
zhong ying wen 	中英文	c=4 d=3.19712 t=6218
zhong yu 	終於	c=1 d=0.923172 t=6218
zhong yu hao le 	終於好了	c=1 d=0.000710174 t=6218
zhong zhi 	中止	c=2 d=0.0521841 t=6218
zhong zhou yun 	中州韻	c=2 d=0.0934807 t=6218
zhou 	軸	c=0 d=0.00144798 t=6218
zhou bian 	週邊	c=1 d=0.00162865 t=6218
zhou mo 	週末	c=4 d=0.897038 t=6218
zhou wu 	週五	c=1 d=0.891366 t=6218
zhu 	主	c=1 d=0.00298969 t=6218
zhu 	豬	c=3 d=0.106895 t=6218
zhu ce 	註冊	c=3 d=0.0290781 t=6218
zhu cong 	主從	c=1 d=0.0288686 t=6218
zhu fu wu qi 	主服務器	c=5 d=0.247797 t=6218
zhu hu 	住戶	c=1 d=0.00355287 t=6218
zhu jian 	主鍵	c=4 d=0.151174 t=6218
zhu jie 	註解	c=5 d=0.153057 t=6218
zhu ku 	主庫	c=8 d=0.000133616 t=6218
zhu ru 	注入	c=7 d=0.0597355 t=6218
zhu ru lei 	注入類	c=1 d=0.346456 t=6218
zhu shi 	註釋	c=1 d=0.156453 t=6218
zhu ti 	主題	c=3 d=1.16879 t=6218
zhu xiao 	註銷	c=1 d=0.00249117 t=6218
zhu yao 	主要	c=1 d=0.677057 t=6218
zhu yao shi 	主要是	c=1 d=1.53037e-06 t=6218
zhu zhu 	豬豬	c=3 d=1.05172 t=6218
zhu zhu mao 	豬豬貓	c=1 d=0.0325493 t=6218
zhua jia 	爪甲	c=2 d=0.952918 t=6218
zhua pai 	抓拍	c=0 d=0.000369786 t=6218
zhua pai ren lian 	抓拍人臉	c=1 d=0.0037164 t=6218
zhuan 	轉	c=5 d=1.85679 t=6218
zhuan huan 	轉換	c=6 d=1.11468 t=6218
zhuan huan qi 	轉換器	c=1 d=0.010889 t=6218
zhuan yi 	轉義	c=4 d=0.666751 t=6218
zhuan yi zi fu 	轉義字符	c=1 d=0.202909 t=6218
zhuan yong 	專用	c=2 d=0.0106844 t=6218
zhuang 	裝	c=2 d=0.178173 t=6218
zhuang shi 	裝飾	c=1 d=0.010962 t=6218
zhuang shi qi 	裝飾器	c=1 d=0.0101529 t=6218
zhuang tai 	狀態	c=6 d=1.58121 t=6218
zhuang tai lan 	狀態欄	c=4 d=2.04444 t=6218
zhuang tai ma 	狀態碼	c=5 d=0.107588 t=6218
zhui 	追	c=0 d=0.0798516 t=6218
zhui jia 	追加	c=13 d=4.08536 t=6218
zhui jia shou quan 	追加授權	c=1 d=0.440432 t=6218
zhui sai ru 	追塞入	c=1 d=0.802519 t=6218
zhun que 	準確	c=1 d=1 t=6107
zhuo 	卓	c=1 d=0.0158434 t=6218
zi 	子	c=8 d=0.950268 t=6218
zi 	字	c=0 d=0.0822835 t=6218
zi chuan 	字串	c=2 d=0.00307037 t=6218
zi dian 	字典	c=29 d=4.62357 t=6218
zi dian biao 	字典表	c=1 d=0.036334 t=6218
zi ding yi 	自定義	c=8 d=0.0170727 t=6218
zi dong 	自動	c=20 d=2.53927 t=6218
zi duan 	字段	c=14 d=1.55567 t=6218
zi duan ming 	字段名	c=1 d=7.57998e-06 t=6218
zi fu 	字符	c=8 d=0.735368 t=6218
zi fu chuan 	字符串	c=6 d=1.72531 t=6218
zi fu lei 	字符類	c=1 d=0.0471227 t=6218
zi ji 	自己	c=3 d=0.8438 t=6218
zi jie dian 	子節點	c=1 d=0.740818 t=6218
zi ku 	子庫	c=9 d=0.00191115 t=6218
zi ku 	字庫	c=1 d=1.03347e-05 t=6218
zi lei 	子類	c=1 d=0.0144076 t=6218
zi lei xing 	子類型	c=1 d=0.927743 t=6218
zi liao 	資料	c=1 d=0.298197 t=6218
zi mu 	字母	c=3 d=0.104676 t=6218
zi she bei 	子設備	c=1 d=0.465334 t=6218
zi ti 	字體	c=2 d=1.61208 t=6218
zi xi tong 	子系統	c=1 d=4.02661e-05 t=6218
zi yi chang 	子異常	c=1 d=2.01965e-05 t=6218
zong 	總	c=3 d=0.692987 t=6218
zong de 	總的	c=1 d=0.218712 t=6218
zong qun 	總羣	c=1 d=0.814647 t=6218
zong shi jian 	總時間	c=1 d=0.537944 t=6218
zong shu 	總數	c=3 d=0.115026 t=6218
zong zuo biao 	縱坐標	c=3 d=0.111746 t=6218
zu 	組	c=3 d=0.0237183 t=6218
zu jian 	組件	c=2 d=0.0354627 t=6218
zui da 	最大	c=2 d=0.0188734 t=6218
zui hou 	最後	c=1 d=1 t=5985
zui huang 	最黃	c=1 d=0.0977836 t=6218
